Mobility_Surrogate_Key,Accurate_Episode_Date,Metro_Area,Province,Subregion,Retail_And_Recreation,Grocery_And_Pharmacy,Parks,Transit_Stations,Workplaces,Residential
159,2020-08-06,,Ontario,Toronto Division,-26.0,-3.0,111.0,-53.0,-52.0,16.0
160,2020-08-07,,Ontario,Toronto Division,-30.0,-9.0,104.0,-51.0,-51.0,15.0
161,2020-08-08,,Ontario,Toronto Division,-28.0,-11.0,162.0,-32.0,-10.0,2.0
162,2020-08-09,,Ontario,Toronto Division,-28.0,-15.0,128.0,-35.0,-11.0,1.0
163,2020-08-10,,Ontario,Toronto Division,-29.0,-11.0,91.0,-56.0,-53.0,15.0
164,2020-08-11,,Ontario,Toronto Division,-29.0,-9.0,89.0,-55.0,-53.0,16.0
165,2020-08-12,,Ontario,Toronto Division,-27.0,-10.0,102.0,-54.0,-53.0,16.0
166,2020-08-13,,Ontario,Toronto Division,-27.0,-7.0,104.0,-53.0,-52.0,16.0
167,2020-08-14,,Ontario,Toronto Division,-29.0,-10.0,100.0,-50.0,-51.0,14.0
168,2020-08-15,,Ontario,Toronto Division,-27.0,-12.0,155.0,-31.0,-11.0,1.0
169,2020-08-16,,Ontario,Toronto Division,-27.0,-15.0,79.0,-38.0,-13.0,2.0
170,2020-08-17,,Ontario,Toronto Division,-31.0,-15.0,49.0,-56.0,-54.0,16.0
171,2020-08-18,,Ontario,Toronto Division,-27.0,-9.0,93.0,-53.0,-52.0,15.0
172,2020-08-19,,Ontario,Toronto Division,-27.0,-11.0,92.0,-53.0,-52.0,15.0
173,2020-08-20,,Ontario,Toronto Division,-25.0,-4.0,106.0,-52.0,-51.0,15.0
174,2020-08-21,,Ontario,Toronto Division,-29.0,-8.0,87.0,-50.0,-50.0,14.0
175,2020-08-22,,Ontario,Toronto Division,-27.0,-11.0,141.0,-30.0,-9.0,2.0
176,2020-08-23,,Ontario,Toronto Division,-26.0,-14.0,122.0,-33.0,-10.0,0.0
177,2020-08-24,,Ontario,Toronto Division,-28.0,-10.0,86.0,-54.0,-52.0,15.0
178,2020-08-25,,Ontario,Toronto Division,-26.0,-7.0,103.0,-52.0,-52.0,14.0
