Mobility_Surrogate_Key,Metro_Area,Province,Subregion,Retail_And_Recreation,Grocery_And_Pharmacy,Parks,Transit_Stations,Workplaces,Residential
240,,Ontario,Regional Municipality of Durham,-14.0,0.0,-1.0,-59.0,-37.0,13.0
241,,Ontario,Regional Municipality of Durham,-16.0,-2.0,-23.0,-58.0,-37.0,14.0
242,,Ontario,Regional Municipality of Durham,-9.0,4.0,11.0,-57.0,-33.0,13.0
243,,Ontario,Regional Municipality of Durham,-12.0,5.0,-9.0,-55.0,-34.0,13.0
244,,Ontario,Regional Municipality of Durham,-12.0,3.0,-11.0,-51.0,-32.0,13.0
245,,Ontario,Regional Municipality of Durham,-10.0,11.0,45.0,-27.0,0.0,5.0
246,,Ontario,Regional Municipality of Halton,-48.0,-47.0,442.0,-72.0,-77.0,22.0
247,,Ontario,Regional Municipality of Halton,-17.0,4.0,143.0,-57.0,-55.0,18.0
248,,Ontario,Regional Municipality of Halton,-23.0,-2.0,162.0,-58.0,-56.0,17.0
249,,Ontario,Regional Municipality of Halton,-29.0,-6.0,259.0,-34.0,-5.0,5.0
250,,Ontario,Regional Municipality of Halton,-26.0,-13.0,202.0,-27.0,-4.0,2.0
251,,Ontario,Regional Municipality of Halton,-20.0,-1.0,159.0,-58.0,-54.0,17.0
252,,Ontario,Regional Municipality of Halton,-21.0,1.0,161.0,-59.0,-53.0,17.0
253,,Ontario,Regional Municipality of Halton,-19.0,1.0,124.0,-61.0,-53.0,18.0
254,,Ontario,Regional Municipality of Halton,-21.0,2.0,141.0,-60.0,-52.0,18.0
255,,Ontario,Regional Municipality of Halton,-25.0,-6.0,112.0,-58.0,-51.0,17.0
256,,Ontario,Regional Municipality of Halton,-28.0,-4.0,137.0,-39.0,-6.0,7.0
257,,Ontario,Regional Municipality of Halton,-21.0,-9.0,241.0,-30.0,-2.0,3.0
258,,Ontario,Regional Municipality of Halton,-19.0,-3.0,169.0,-60.0,-53.0,17.0
259,,Ontario,Regional Municipality of Halton,-19.0,0.0,194.0,-59.0,-52.0,17.0
260,,Ontario,Regional Municipality of Halton,-16.0,0.0,175.0,-62.0,-51.0,17.0
261,,Ontario,Regional Municipality of Halton,-21.0,1.0,69.0,-63.0,-51.0,19.0
262,,Ontario,Regional Municipality of Halton,-21.0,0.0,183.0,-57.0,-49.0,15.0
263,,Ontario,Regional Municipality of Halton,-26.0,-4.0,274.0,-34.0,-2.0,4.0
264,,Ontario,Regional Municipality of Halton,-30.0,-15.0,119.0,-35.0,-8.0,4.0
265,,Ontario,Regional Municipality of Halton,-16.0,2.0,190.0,-59.0,-51.0,16.0
266,,Ontario,Regional Municipality of Halton,-17.0,1.0,186.0,-60.0,-50.0,16.0
267,,Ontario,Regional Municipality of Halton,-20.0,-5.0,56.0,-63.0,-52.0,19.0
268,,Ontario,Regional Municipality of Halton,-16.0,3.0,182.0,-57.0,-49.0,16.0
269,,Ontario,Regional Municipality of Halton,-19.0,0.0,195.0,-56.0,-49.0,14.0
270,,Ontario,Regional Municipality of Halton,-22.0,-4.0,301.0,-31.0,-1.0,3.0
271,,Ontario,Regional Municipality of Halton,-20.0,-9.0,212.0,-30.0,-2.0,2.0
272,,Ontario,Regional Municipality of Halton,-17.0,-1.0,136.0,-62.0,-53.0,17.0
273,,Ontario,Regional Municipality of Halton,-16.0,1.0,189.0,-59.0,-51.0,16.0
274,,Ontario,Regional Municipality of Halton,-11.0,3.0,168.0,-59.0,-52.0,17.0
275,,Ontario,Regional Municipality of Halton,-11.0,6.0,183.0,-55.0,-51.0,15.0
276,,Ontario,Regional Municipality of Halton,-15.0,3.0,213.0,-51.0,-52.0,13.0
277,,Ontario,Regional Municipality of Halton,-24.0,-6.0,281.0,-24.0,-5.0,2.0
278,,Ontario,Regional Municipality of Halton,-22.0,-9.0,79.0,-32.0,-11.0,4.0
279,,Ontario,Regional Municipality of Halton,-32.0,-27.0,248.0,-73.0,-80.0,21.0
280,,Ontario,Regional Municipality of Halton,-20.0,-2.0,46.0,-59.0,-52.0,17.0
281,,Ontario,Regional Municipality of Halton,-10.0,2.0,206.0,-59.0,-52.0,15.0
282,,Ontario,Regional Municipality of Halton,-14.0,2.0,213.0,-60.0,-51.0,15.0
283,,Ontario,Regional Municipality of Halton,-18.0,-4.0,192.0,-57.0,-50.0,14.0
284,,Ontario,Regional Municipality of Halton,-21.0,-6.0,308.0,-30.0,-3.0,2.0
285,,Ontario,Regional Municipality of Halton,-19.0,-12.0,224.0,-35.0,-3.0,1.0
286,,Ontario,Regional Municipality of Halton,-14.0,-3.0,171.0,-62.0,-52.0,15.0
287,,Ontario,Regional Municipality of Halton,-15.0,1.0,178.0,-60.0,-51.0,16.0
288,,Ontario,Regional Municipality of Halton,-11.0,1.0,195.0,-61.0,-51.0,16.0
289,,Ontario,Regional Municipality of Halton,-13.0,2.0,207.0,-60.0,-50.0,15.0
290,,Ontario,Regional Municipality of Halton,-16.0,-1.0,197.0,-56.0,-49.0,13.0
291,,Ontario,Regional Municipality of Halton,-20.0,-4.0,303.0,-30.0,-3.0,2.0
292,,Ontario,Regional Municipality of Halton,-20.0,-9.0,159.0,-34.0,-6.0,2.0
293,,Ontario,Regional Municipality of Halton,-17.0,-5.0,92.0,-63.0,-53.0,16.0
294,,Ontario,Regional Municipality of Halton,-14.0,1.0,92.0,-61.0,-50.0,15.0
295,,Ontario,Regional Municipality of Halton,-11.0,0.0,92.0,-60.0,-51.0,15.0
296,,Ontario,Regional Municipality of Halton,-11.0,2.0,92.0,-57.0,-50.0,14.0
